hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.6396647691726685
mlp_act,17,5,2198,0.14446431398391724
mlp_act,17,5,1698,0.1166769489645958
mlp_act,17,5,1258,0.06938084214925766
mlp_act,27,5,4485,0.06272132694721222
mlp_act,12,5,3782,0.0595761239528656
mlp_act,27,5,4987,0.043382544070482254
mlp_act,27,5,303,0.028969205915927887
mlp_act,2,5,2668,0.02855790965259075
mlp_act,22,5,923,0.027861587703227997
mlp_act,27,5,1227,0.027302199974656105
mlp_act,27,5,3782,0.023633254691958427
mlp_act,22,5,3704,0.02048874832689762
mlp_act,27,5,1154,0.019564364105463028
mlp_act,7,5,5826,0.016794255003333092
mlp_act,22,5,3623,0.01616816595196724
mlp_act,27,5,583,0.01571842096745968
mlp_act,7,5,4590,0.014625963754951954
mlp_act,2,5,216,0.014092030003666878
mlp_act,27,5,3746,0.0137190455570817
mlp_act,7,5,2608,0.013602948747575283
mlp_act,12,5,4829,0.0126231350004673
mlp_act,17,5,2432,0.010491492226719856
mlp_act,22,5,4470,0.010387508198618889
mlp_act,27,5,4478,0.01016740407794714
mlp_act,27,5,3290,0.008983254432678223
mlp_act,17,5,4270,0.008364452980458736
mlp_act,27,5,3387,0.008326618000864983
mlp_act,27,5,477,0.008116554468870163
mlp_act,17,5,295,0.00808076374232769
mlp_act,17,5,4624,0.007792603690177202
mlp_act,22,5,1527,0.007417643442749977
mlp_act,2,5,3614,0.007363565266132355
mlp_act,7,5,888,0.007328895386308432
mlp_act,22,5,3764,0.00732693076133728
mlp_act,12,5,1273,0.007117359898984432
mlp_act,17,5,1232,0.0069059208035469055
mlp_act,27,5,1852,0.006593470927327871
mlp_act,17,5,1906,0.006541754584759474
mlp_act,27,5,5575,0.006127667147666216
mlp_act,17,5,625,0.006047410890460014
mlp_act,27,5,62,0.005827116314321756
mlp_act,7,5,2866,0.005769559182226658
mlp_act,27,5,2512,0.005698228254914284
mlp_act,27,5,1468,0.00557693699374795
mlp_act,12,5,2135,0.005526273511350155
mlp_act,27,5,463,0.005474258679896593
mlp_act,27,5,4137,0.005311943590641022
mlp_act,27,5,999,0.005207221023738384
mlp_act,27,5,3878,0.005166749469935894
mlp_act,27,5,4288,0.005159216467291117
mlp_act,27,5,2525,0.005041034892201424
mlp_act,17,5,241,0.004878190346062183
mlp_act,7,5,3024,0.004754745401442051
mlp_act,17,5,1536,0.004693453665822744
mlp_act,22,5,5136,0.004453060682862997
mlp_act,12,5,5133,0.004430568311363459
mlp_act,17,5,1219,0.004345442168414593
mlp_act,12,5,4364,0.004291654098778963
mlp_act,22,5,1874,0.004273229278624058
mlp_act,22,5,5266,0.004272595979273319
mlp_act,12,5,2614,0.004236192908138037
mlp_act,22,5,1148,0.00420347461476922
mlp_act,27,5,3432,0.004106841050088406
